slice,sid_metric,target_metric,n,n_unique_sid,n_unique_target,spearman_rho,spearman_p,pearson_r,pearson_p,kendall_tau,kendall_p,abs_spearman
mean_gpt2_seeds,rq_train_sids_num_std,gpt2_best_val_loss,53,16,53,0.4222078379811635,0.0016377822823715462,0.3945491395863304,0.003461393175159694,0.2870984612852723,0.003039334697704703,0.4222078379811635
mean_gpt2_seeds,rq_val_sids_num_std,gpt2_best_val_loss,53,17,53,0.3974801460828679,0.003206924397185682,0.46262524765914936,0.00048701060285029915,0.25164146329143733,0.009138096507552986,0.3974801460828679
mean_gpt2_seeds,rq_train_sids_num_l0,gpt2_best_val_loss,53,16,53,-0.2647593299272801,0.05538308129794806,-0.2566550763075341,0.06357741070529058,-0.18866470313032177,0.051463453522822215,0.2647593299272801
mean_gpt2_seeds,rq_train_sids_num_min,gpt2_best_val_loss,53,16,53,-0.2647593299272801,0.05538308129794806,-0.2566550763075341,0.06357741070529058,-0.18866470313032177,0.051463453522822215,0.2647593299272801
mean_gpt2_seeds,sid_max_cluster_size,gpt2_best_val_loss,53,18,53,-0.2532552568621328,0.06729222618568344,-0.5983137476409611,2.2281173992635895e-06,-0.18050675359570015,0.060772279265464774,0.2532552568621328
mean_gpt2_seeds,rq_train_sids_num_mean,gpt2_best_val_loss,53,16,53,-0.2502032274877839,0.07077278538169958,-0.096533711454007,0.49168788889836856,-0.17971617966168993,0.06356497880038556,0.2502032274877839
mean_gpt2_seeds,rq_train_sids_num_sum,gpt2_best_val_loss,53,16,53,-0.2502032274877839,0.07077278538169958,-0.096533711454007,0.49168788889836856,-0.17971617966168993,0.06356497880038556,0.2502032274877839
mean_gpt2_seeds,rq_train_entropy_l3,gpt2_best_val_loss,53,18,53,0.2474416498179519,0.07404415528781065,0.5466325958708805,2.2891215211601878e-05,0.17162937227132147,0.07459799133307109,0.2474416498179519
mean_gpt2_seeds,rq_train_entropy_max,gpt2_best_val_loss,53,18,53,0.2474416498179519,0.07404415528781065,0.5466325958708805,2.2891215211601878e-05,0.17162937227132147,0.07459799133307109,0.2474416498179519
mean_gpt2_seeds,rq_val_sids_num_l1,gpt2_best_val_loss,53,15,53,0.24348043559347357,0.07894469597618485,0.31705221761493335,0.02071347454058607,0.17116158441245952,0.07787413191467016,0.24348043559347357
mean_gpt2_seeds,sid_path_avg_similarity,gpt2_best_val_loss,53,18,53,0.2336343330880221,0.09223650794746192,0.5716208143736287,7.795977976684652e-06,0.14351766474412225,0.13598857594470806,0.2336343330880221
mean_gpt2_seeds,rqvae_best_val_loss,gpt2_best_val_loss,53,15,53,-0.232440714796759,0.09395976143003598,-0.5731626479858416,7.273497233369144e-06,-0.14425408642622137,0.13728470475910026,0.232440714796759
mean_gpt2_seeds,rqvae_val_loss,gpt2_best_val_loss,53,18,53,-0.23121199681961335,0.09575974640485192,-0.5775876347096698,5.948770636519284e-06,-0.13907897408193293,0.14851782270282837,0.23121199681961335
mean_gpt2_seeds,rq_val_entropy_l1,gpt2_best_val_loss,53,18,53,0.23121199681961335,0.09575974640485192,0.4466766031225482,0.0008000700944425505,0.14499722829818537,0.1319986637681527,0.23121199681961335
mean_gpt2_seeds,sid_unique_total,gpt2_best_val_loss,53,18,53,0.23072752956593162,0.09647677389706764,0.45009789515292503,0.0007207026464946891,0.13464028341974357,0.161910033698916,0.23072752956593162
mean_gpt2_seeds,sid_collisions,gpt2_best_val_loss,53,18,53,-0.23072752956593162,0.09647677389706764,-0.45009789515292503,0.0007207026464946891,-0.13464028341974357,0.161910033698916,0.23072752956593162
mean_gpt2_seeds,sid_icr,gpt2_best_val_loss,53,18,53,0.23072752956593162,0.09647677389706764,0.450097895152925,0.0007207026464946891,0.13464028341974357,0.161910033698916,0.23072752956593162
mean_gpt2_seeds,sid_cur_total,gpt2_best_val_loss,53,18,53,0.23072752956593162,0.09647677389706764,0.45009789515292503,0.0007207026464946891,0.13464028341974357,0.161910033698916,0.23072752956593162
mean_gpt2_seeds,rqvae_train_loss,gpt2_best_val_loss,53,18,53,-0.23048529593909076,0.09683684680650673,-0.5545742987447416,1.640836691616705e-05,-0.15239504606850096,0.11339473480012452,0.23048529593909076
mean_gpt2_seeds,rq_val_sids_num_l2,gpt2_best_val_loss,53,17,53,0.22649097348441466,0.10292584484873103,0.4068927187634455,0.0024978972243133142,0.1358418518652892,0.15935789230182285,0.22649097348441466
mean_gpt2_seeds,rq_val_entropy_max,gpt2_best_val_loss,53,18,53,0.2256406234022733,0.10425946363311209,0.6262563597795213,5.288282777976344e-07,0.13464028341974357,0.161910033698916,0.2256406234022733
mean_gpt2_seeds,rq_val_entropy_l3,gpt2_best_val_loss,53,18,53,0.2237027543875463,0.10734838194815448,0.6372531748568332,2.885906032330683e-07,0.12724246564942798,0.18622607109967504,0.2237027543875463
mean_gpt2_seeds,rq_val_entropy_l0,gpt2_best_val_loss,53,16,53,0.22238489838119127,0.10948886103666595,0.46601010165655227,0.00043693976130074186,0.13199072116232,0.17302543703916073,0.22238489838119127
mean_gpt2_seeds,rq_val_entropy_l2,gpt2_best_val_loss,53,18,53,0.22176488537281933,0.11050714794613241,0.5743516544653006,6.892961896289436e-06,0.12724246564942798,0.18622607109967504,0.22176488537281933
mean_gpt2_seeds,rq_val_entropy_min,gpt2_best_val_loss,53,16,53,0.22117188984456657,0.11148783653541969,0.4624621036355336,0.0004895500691302195,0.12900788000610938,0.18294083412058348,0.22117188984456657
mean_gpt2_seeds,rq_val_sids_num_max,gpt2_best_val_loss,53,16,53,0.21970361897416799,0.11394471104361482,0.5199514877936955,6.600723593646974e-05,0.14152237889982822,0.14374914013030013,0.21970361897416799
mean_gpt2_seeds,rq_val_sids_num_mean,gpt2_best_val_loss,53,18,53,0.21958478273125148,0.11414535581461303,0.3961714916826134,0.0033184225884727117,0.11836508432504929,0.21884481038972348,0.21958478273125148
mean_gpt2_seeds,rq_val_sids_num_sum,gpt2_best_val_loss,53,18,53,0.21958478273125148,0.11414535581461303,0.3961714916826134,0.0033184225884727117,0.11836508432504929,0.21884481038972348,0.21958478273125148
mean_gpt2_seeds,rq_train_entropy_l0,gpt2_best_val_loss,53,18,53,0.21934254910441062,0.11455518193685159,0.4322479316782432,0.0012285089864745656,0.1361198469738067,0.15734824804443803,0.21934254910441062
mean_gpt2_seeds,rq_train_entropy_min,gpt2_best_val_loss,53,18,53,0.21934254910441062,0.11455518193685159,0.43190455364420866,0.001240830001423176,0.1361198469738067,0.15734824804443803,0.21934254910441062
mean_gpt2_seeds,rq_val_entropy_mean,gpt2_best_val_loss,53,18,53,0.21885808185072883,0.11537820318660158,0.5368669813974684,3.408213057240853e-05,0.11540595721692305,0.23058024227608276,0.21885808185072883
mean_gpt2_seeds,rq_val_entropy_sum,gpt2_best_val_loss,53,18,53,0.21885808185072883,0.11537820318660158,0.5368669813974684,3.408213057240853e-05,0.11540595721692305,0.23058024227608276,0.21885808185072883
mean_gpt2_seeds,rq_train_entropy_l2,gpt2_best_val_loss,53,18,53,0.21788914734336537,0.11703776933167337,0.48797183761874635,0.00021017993025121423,0.14055853763599602,0.14424700745453706,0.21788914734336537
