slice,sid_metric,target_metric,n,n_unique_sid,n_unique_target,spearman_rho,spearman_p,pearson_r,pearson_p,kendall_tau,kendall_p,abs_spearman
all_rows,pas_behavioral,NDCG@1,11,6,10,0.6037122778185576,0.04921269640216948,0.6165730126152299,0.04334390450840212,0.44263520637871306,0.06822808679705429,0.6037122778185576
all_rows,gamma,NDCG@1,11,2,10,0.5011402523360258,0.11633945886179559,0.48483271497112934,0.1306679781136829,0.4303314829119352,0.11302436851255683,0.5011402523360258
all_rows,unique_l0,NDCG@1,11,3,10,0.4652657089690788,0.14928082969024378,0.49544114809251294,0.1212259941348526,0.40032038451271784,0.13009389144724806,0.4652657089690788
all_rows,unique_l1,NDCG@1,11,3,10,0.4652657089690788,0.14928082969024378,0.48756334408258667,0.1281943238170015,0.40032038451271784,0.13009389144724806,0.4652657089690788
all_rows,unique_l2,NDCG@1,11,3,10,0.4652657089690788,0.14928082969024378,0.48478524771456677,0.1307112446592751,0.40032038451271784,0.13009389144724806,0.4652657089690788
all_rows,entropy_mean,NDCG@1,11,6,10,0.19816509882593875,0.5591536434798087,0.45366961977182463,0.16105410884879134,0.13471506281091267,0.5789100661590745,0.19816509882593875
all_rows,unique_total_base,NDCG@1,11,6,10,0.19816509882593875,0.5591536434798087,0.47784179281482536,0.13713861614561793,0.13471506281091267,0.5789100661590745,0.19816509882593875
all_rows,n_collisions,NDCG@1,11,6,10,-0.19816509882593875,0.5591536434798087,-0.47784179281482553,0.13713861614561784,-0.13471506281091267,0.5789100661590745,0.19816509882593875
all_rows,cfr,NDCG@1,11,6,10,0.19816509882593875,0.5591536434798087,0.4778417928148254,0.13713861614561784,0.13471506281091267,0.5789100661590745,0.19816509882593875
all_rows,cur_total,NDCG@1,11,6,10,0.19816509882593875,0.5591536434798087,0.47784179281482503,0.13713861614561823,0.13471506281091267,0.5789100661590745,0.19816509882593875
all_rows,zipf_alpha_full,NDCG@1,11,6,10,-0.19816509882593875,0.5591536434798087,-0.4750633612217466,0.13976547476303494,-0.13471506281091267,0.5789100661590745,0.19816509882593875
all_rows,pas_emb,NDCG@1,11,6,10,0.18894811748519744,0.5779278216328015,0.48523465250921227,0.1303019760140832,0.13471506281091267,0.5789100661590745,0.18894811748519744
all_rows,entropy_l1,NDCG@1,11,6,10,0.14286321078149072,0.6751842568701595,0.4415929641894758,0.1739093188720705,0.13471506281091267,0.5789100661590745,0.14286321078149072
all_rows,entropy_l2,NDCG@1,11,6,10,0.11982075742963738,0.7256547923244632,0.01781504538651823,0.9585381970884158,0.057735026918962574,0.8119993835788952,0.11982075742963738
all_rows,entropy_l0,NDCG@1,11,6,10,0.10599528541852539,0.7564282865418906,0.489047982441718,0.12686202224780663,0.13471506281091267,0.5789100661590745,0.10599528541852539
all_rows,max_dupe,NDCG@1,11,6,10,-0.07834434139630138,0.8188981102895322,-0.4231984509544349,0.19466316682403156,-0.13471506281091267,0.5789100661590745,0.07834434139630138
all_rows,entropy_l3,NDCG@1,11,6,10,0.06451886938518936,0.8505137906021056,0.039928556336863395,0.907210660870489,0.057735026918962574,0.8119993835788952,0.06451886938518936
all_rows,entropy_min,NDCG@1,11,6,10,0.023042453351853343,0.9463855609355984,0.4781104133998741,0.13688631824758557,-0.019245008972987525,0.9368079280695977,0.023042453351853343
all_rows,n_layers,NDCG@1,11,1,10,,,,,,,
all_rows,codebook_size,NDCG@1,11,1,10,,,,,,,
all_rows,embed_dim,NDCG@1,11,1,10,,,,,,,
all_rows,beta,NDCG@1,11,1,10,,,,,,,
all_rows,ema_decay,NDCG@1,11,1,10,,,,,,,
all_rows,temperature,NDCG@1,11,1,10,,,,,,,
all_rows,margin,NDCG@1,1,1,1,,,,,,,
all_rows,unique_l3,NDCG@1,11,1,10,,,,,,,
all_rows,entropy_mean,NDCG@10,11,6,10,0.7327500165889363,0.010316775964022938,0.9376320996185329,2.0206850070628976e-05,0.5965952781626133,0.013980758261535968,0.7327500165889363
all_rows,unique_total_base,NDCG@10,11,6,10,0.7327500165889363,0.010316775964022938,0.934510236297565,2.505908917043674e-05,0.5965952781626133,0.013980758261535968,0.7327500165889363
all_rows,n_collisions,NDCG@10,11,6,10,-0.7327500165889363,0.010316775964022938,-0.9345102362975652,2.5059089170436312e-05,-0.5965952781626133,0.013980758261535968,0.7327500165889363
all_rows,cfr,NDCG@10,11,6,10,0.7327500165889363,0.010316775964022938,0.9345102362975656,2.5059089170435953e-05,0.5965952781626133,0.013980758261535968,0.7327500165889363
all_rows,cur_total,NDCG@10,11,6,10,0.7327500165889363,0.010316775964022938,0.9345102362975651,2.505908917043674e-05,0.5965952781626133,0.013980758261535968,0.7327500165889363
all_rows,zipf_alpha_full,NDCG@10,11,6,10,-0.7327500165889363,0.010316775964022938,-0.9398540736353347,1.7219302077767852e-05,-0.5965952781626133,0.013980758261535968,0.7327500165889363
all_rows,entropy_l2,NDCG@10,11,6,10,0.6774481285444883,0.022005748839214606,0.5424582764589365,0.0846943390093004,0.5196152422706631,0.032304096454665795,0.6774481285444883
all_rows,pas_behavioral,NDCG@10,11,6,10,0.6590141658630055,0.027421990599358907,0.8585252046770423,0.0007163003214641265,0.5581052602166382,0.021494016117075035,0.6590141658630055
all_rows,unique_l0,NDCG@10,11,3,10,0.610661243021916,0.0459779189560761,0.9283683848975334,3.7173789280845615e-05,0.5337605126836238,0.04355909141025417,0.610661243021916
all_rows,unique_l1,NDCG@10,11,3,10,0.610661243021916,0.0459779189560761,0.9211678468160879,5.660099137363328e-05,0.5337605126836238,0.04355909141025417,0.610661243021916
all_rows,unique_l2,NDCG@10,11,3,10,0.610661243021916,0.0459779189560761,0.8387479247966755,0.0012525148029009557,0.5337605126836238,0.04355909141025417,0.610661243021916
all_rows,entropy_min,NDCG@10,11,6,10,0.557627371114851,0.07468667694778676,0.9307290948983045,3.2081297718437095e-05,0.44263520637871306,0.06822808679705429,0.557627371114851
all_rows,entropy_l1,NDCG@10,11,6,10,0.557627371114851,0.07468667694778676,0.9158290033107973,7.54164465281208e-05,0.44263520637871306,0.06822808679705429,0.557627371114851
all_rows,entropy_l0,NDCG@10,11,6,10,0.5207594457518856,0.10049542251304476,0.9278841501255066,3.82907922114861e-05,0.365655170486763,0.13197287495492677,0.5207594457518856
all_rows,entropy_l3,NDCG@10,11,6,10,0.5023254830704029,0.11533941889392824,0.5200513922346878,0.10104118800694706,0.365655170486763,0.13197287495492677,0.5023254830704029
all_rows,gamma,NDCG@10,11,2,10,0.5011402523360258,0.11633945886179559,0.9183565437051551,6.599377482958446e-05,0.4303314829119352,0.11302436851255683,0.5011402523360258
all_rows,pas_emb,NDCG@10,11,6,10,0.33641981893705886,0.31173839609592374,0.92152639699187,5.548104689438575e-05,0.2501851166488378,0.30269444491762354,0.33641981893705886
all_rows,max_dupe,NDCG@10,11,6,10,-0.1336462294407494,0.6952412193060609,-0.8879920119460074,0.00026175157270632747,-0.057735026918962574,0.8119993835788952,0.1336462294407494
all_rows,n_layers,NDCG@10,11,1,10,,,,,,,
all_rows,codebook_size,NDCG@10,11,1,10,,,,,,,
all_rows,embed_dim,NDCG@10,11,1,10,,,,,,,
all_rows,beta,NDCG@10,11,1,10,,,,,,,
all_rows,ema_decay,NDCG@10,11,1,10,,,,,,,
all_rows,temperature,NDCG@10,11,1,10,,,,,,,
all_rows,margin,NDCG@10,1,1,1,,,,,,,
all_rows,unique_l3,NDCG@10,11,1,10,,,,,,,
all_rows,entropy_mean,NDCG@20,11,6,9,0.7898572950972258,0.003825380280246721,0.9755636081283999,3.1500413388745777e-07,0.6604743864029395,0.006864653330939174,0.7898572950972258
all_rows,unique_total_base,NDCG@20,11,6,9,0.7898572950972258,0.003825380280246721,0.9717996959435152,5.969358830546932e-07,0.6604743864029395,0.006864653330939174,0.7898572950972258
all_rows,n_collisions,NDCG@20,11,6,9,-0.7898572950972258,0.003825380280246721,-0.9717996959435152,5.969358830546932e-07,-0.6604743864029395,0.006864653330939174,0.7898572950972258
all_rows,cfr,NDCG@20,11,6,9,0.7898572950972258,0.003825380280246721,0.9717996959435152,5.969358830546932e-07,0.6604743864029395,0.006864653330939174,0.7898572950972258
all_rows,cur_total,NDCG@20,11,6,9,0.7898572950972258,0.003825380280246721,0.9717996959435153,5.969358830546729e-07,0.6604743864029395,0.006864653330939174,0.7898572950972258
all_rows,zipf_alpha_full,NDCG@20,11,6,9,-0.7898572950972258,0.003825380280246721,-0.9756749201310603,3.0864800861685744e-07,-0.6604743864029395,0.006864653330939174,0.7898572950972258
all_rows,entropy_l0,NDCG@20,11,6,9,0.7529049070225018,0.007484273382099884,0.9665708784981886,1.2736751001956657e-06,0.6216229519086491,0.010949079132165647,0.7529049070225018
all_rows,entropy_l2,NDCG@20,11,6,9,0.7529049070225018,0.007484273382099884,0.5544615103612528,0.07670635136552455,0.5827715174143585,0.017065207572717365,0.7529049070225018
all_rows,entropy_min,NDCG@20,11,6,9,0.7344287129851398,0.01005511423393655,0.9693431708057045,8.661909795396404e-07,0.5827715174143585,0.017065207572717365,0.7344287129851398
all_rows,unique_l0,NDCG@20,11,3,9,0.7286431424819468,0.010977735580788524,0.9681584423050533,1.0255812559373024e-06,0.6465269501284384,0.015189801759424644,0.7286431424819468
all_rows,unique_l1,NDCG@20,11,3,9,0.7286431424819468,0.010977735580788524,0.9597405766084871,2.9113454999365986e-06,0.6465269501284384,0.015189801759424644,0.7286431424819468
all_rows,unique_l2,NDCG@20,11,3,9,0.7286431424819468,0.010977735580788524,0.8830679615125359,0.0003153345508705294,0.6465269501284384,0.015189801759424644,0.7286431424819468
all_rows,entropy_l1,NDCG@20,11,6,9,0.6050953547236058,0.048556778743024914,0.9546089868132428,4.958055529563279e-06,0.5050686484257774,0.03870967690867218,0.6050953547236058
all_rows,pas_behavioral,NDCG@20,11,6,9,0.5681429666488818,0.06823441331448478,0.8635339877178009,0.0006136683530305621,0.4662172139314868,0.056360223771616376,0.5681429666488818
all_rows,entropy_l3,NDCG@20,11,6,9,0.5681429666488818,0.06823441331448478,0.5316184886500211,0.09236562628435009,0.4273657794371963,0.08025302260481086,0.5681429666488818
all_rows,gamma,NDCG@20,11,2,9,0.5022883414749454,0.11537067274689113,0.9565317095159339,4.0920340325016194e-06,0.43437224276306935,0.1122015216842506,0.5022883414749454
all_rows,max_dupe,NDCG@20,11,6,9,-0.4018572203126237,0.2205267297231269,-0.9520713780823934,6.309838528255139e-06,-0.31081147595432457,0.20331631295883246,0.4018572203126237
all_rows,pas_emb,NDCG@20,11,6,9,0.2632857650324086,0.4340753137319767,0.9553653024779134,4.602056654577265e-06,0.2331086069657434,0.3400229423719202,0.2632857650324086
all_rows,n_layers,NDCG@20,11,1,9,,,,,,,
all_rows,codebook_size,NDCG@20,11,1,9,,,,,,,
all_rows,embed_dim,NDCG@20,11,1,9,,,,,,,
all_rows,beta,NDCG@20,11,1,9,,,,,,,
all_rows,ema_decay,NDCG@20,11,1,9,,,,,,,
all_rows,temperature,NDCG@20,11,1,9,,,,,,,
all_rows,margin,NDCG@20,1,1,1,,,,,,,
all_rows,unique_l3,NDCG@20,11,1,9,,,,,,,
all_rows,pas_behavioral,NDCG@5,11,6,9,0.7067144219290968,0.015037263106609938,0.8806711717651514,0.0003442437173716545,0.6021972346615039,0.013708599836814528,0.7067144219290968
all_rows,entropy_mean,NDCG@5,11,6,9,0.6882382278917347,0.019214795942904445,0.911462072595867,9.408302680901805e-05,0.5633458001672133,0.02112237966018446,0.6882382278917347
all_rows,unique_total_base,NDCG@5,11,6,9,0.6882382278917347,0.019214795942904445,0.9118976744508435,9.207727540032595e-05,0.5633458001672133,0.02112237966018446,0.6882382278917347
all_rows,n_collisions,NDCG@5,11,6,9,-0.6882382278917347,0.019214795942904445,-0.9118976744508436,9.207727540032483e-05,-0.5633458001672133,0.02112237966018446,0.6882382278917347
all_rows,cfr,NDCG@5,11,6,9,0.6882382278917347,0.019214795942904445,0.9118976744508438,9.207727540032396e-05,0.5633458001672133,0.02112237966018446,0.6882382278917347
all_rows,cur_total,NDCG@5,11,6,9,0.6882382278917347,0.019214795942904445,0.9118976744508435,9.207727540032595e-05,0.5633458001672133,0.02112237966018446,0.6882382278917347
all_rows,zipf_alpha_full,NDCG@5,11,6,9,-0.6882382278917347,0.019214795942904445,-0.9169102624067189,7.126760737186743e-05,-0.5633458001672133,0.02112237966018446,0.6882382278917347
all_rows,entropy_l2,NDCG@5,11,6,9,0.6235715487609677,0.04036281880442809,0.5055286231252991,0.11266455121750474,0.48564293117863205,0.04683936380170556,0.6235715487609677
all_rows,entropy_l1,NDCG@5,11,6,9,0.5589048696302008,0.07388187130105237,0.8871058153641579,0.0002708418449913654,0.4467914966843415,0.06744008804796868,0.5589048696302008
all_rows,unique_l0,NDCG@5,11,3,9,0.5537687882862796,0.07715308831142295,0.9067493926837756,0.000117985473548365,0.4848952125963289,0.06862716754973477,0.5537687882862796
all_rows,unique_l1,NDCG@5,11,3,9,0.5537687882862796,0.07715308831142295,0.9009269860954191,0.0001536173320923164,0.4848952125963289,0.06862716754973477,0.5537687882862796
all_rows,unique_l2,NDCG@5,11,3,9,0.5537687882862796,0.07715308831142295,0.8080651365856135,0.002616888182437667,0.4848952125963289,0.06862716754973477,0.5537687882862796
all_rows,gamma,NDCG@5,11,2,9,0.5022883414749454,0.11537067274689113,0.8985502234287815,0.00017030826105018503,0.43437224276306935,0.1122015216842506,0.5022883414749454
all_rows,entropy_l3,NDCG@5,11,6,9,0.49423819049943374,0.12227398139560597,0.486776281339587,0.12890423000305737,0.3690886276957604,0.1308674824599955,0.49423819049943374
all_rows,entropy_min,NDCG@5,11,6,9,0.4665238994433907,0.14803682456632894,0.9084180498479295,0.00010904735318412068,0.40794006219005097,0.09497678092556953,0.4665238994433907
all_rows,pas_emb,NDCG@5,11,6,9,0.42957151136866667,0.1873117469004782,0.9071835367619459,0.00011560809715597431,0.29138575870717925,0.23300651285105256,0.42957151136866667
all_rows,entropy_l0,NDCG@5,11,6,9,0.38338102627526166,0.244468549866063,0.9064472043513757,0.00011966215336109164,0.2525343242128887,0.30130920797954996,0.38338102627526166
all_rows,max_dupe,NDCG@5,11,6,9,-0.041571436584064515,0.9034078790146136,-0.8430244298775345,0.0011170674427310855,0.019425717247145285,0.9366269830457421,0.041571436584064515
all_rows,n_layers,NDCG@5,11,1,9,,,,,,,
all_rows,codebook_size,NDCG@5,11,1,9,,,,,,,
all_rows,embed_dim,NDCG@5,11,1,9,,,,,,,
all_rows,beta,NDCG@5,11,1,9,,,,,,,
all_rows,ema_decay,NDCG@5,11,1,9,,,,,,,
all_rows,temperature,NDCG@5,11,1,9,,,,,,,
all_rows,margin,NDCG@5,1,1,1,,,,,,,
all_rows,unique_l3,NDCG@5,11,1,9,,,,,,,
all_rows,pas_behavioral,Recall@1,11,6,10,0.6037122778185576,0.04921269640216948,0.6165730126152299,0.04334390450840212,0.44263520637871306,0.06822808679705429,0.6037122778185576
all_rows,gamma,Recall@1,11,2,10,0.5011402523360258,0.11633945886179559,0.48483271497112934,0.1306679781136829,0.4303314829119352,0.11302436851255683,0.5011402523360258
all_rows,unique_l0,Recall@1,11,3,10,0.4652657089690788,0.14928082969024378,0.49544114809251294,0.1212259941348526,0.40032038451271784,0.13009389144724806,0.4652657089690788
all_rows,unique_l1,Recall@1,11,3,10,0.4652657089690788,0.14928082969024378,0.48756334408258667,0.1281943238170015,0.40032038451271784,0.13009389144724806,0.4652657089690788
all_rows,unique_l2,Recall@1,11,3,10,0.4652657089690788,0.14928082969024378,0.48478524771456677,0.1307112446592751,0.40032038451271784,0.13009389144724806,0.4652657089690788
all_rows,entropy_mean,Recall@1,11,6,10,0.19816509882593875,0.5591536434798087,0.45366961977182463,0.16105410884879134,0.13471506281091267,0.5789100661590745,0.19816509882593875
all_rows,unique_total_base,Recall@1,11,6,10,0.19816509882593875,0.5591536434798087,0.47784179281482536,0.13713861614561793,0.13471506281091267,0.5789100661590745,0.19816509882593875
all_rows,n_collisions,Recall@1,11,6,10,-0.19816509882593875,0.5591536434798087,-0.47784179281482553,0.13713861614561784,-0.13471506281091267,0.5789100661590745,0.19816509882593875
