n_layers,codebook_size,entropy_l0,entropy_l1,entropy_l2,entropy_l3,unique_l0,unique_l1,unique_l2,unique_l3,entropy_mean,entropy_min,unique_total_base,n_collisions,max_dupe,cfr,pas_emb,cur_total,zipf_alpha_full,pas_behavioral,kind,ckpt
4,256,7.5162770250379705,7.384658230374368,7.41483296817592,7.59796630670966,242,254,255,256,7.478433632574479,7.384658230374368,11580,521,17,0.9569457069663664,0.981666608435149,2.6961788535118103e-06,0.0971314630947739,0.03327775372537841,improved,rqvae_improved_s1.pt
4,256,7.693712925610228,7.759557090718116,7.616287362545525,7.7203138903422275,256,256,256,256,7.697467817304023,7.616287362545525,11674,427,9,0.9647136600280969,0.9843283782732811,2.718064934015274e-06,0.08520212682178357,0.04827355193702851,improved,rqvae_improved_s2.pt
4,256,7.732116198723627,7.892257767019737,7.841465928770813,7.830903780102863,256,256,256,256,7.82418591865426,7.732116198723627,11756,345,11,0.9714899595074787,0.9866839073799752,2.7371570467948914e-06,0.07195649543374494,0.05134074496626982,improved,rqvae_improved_s3.pt
4,256,7.732877004591506,7.74856515937613,7.626672304380543,7.7185187685779075,256,256,256,256,7.706658309231521,7.626672304380543,11725,376,10,0.9689281877530782,0.98076341415355,2.7299392968416214e-06,0.0768599820405948,0.04074899483545242,improved,rqvae_improved_s4.pt
4,256,7.733859753781273,7.8809731062002975,7.8407536455067035,7.824129412473615,256,256,256,256,7.819928979490472,7.733859753781273,11754,347,6,0.9713246839104206,0.983277140482771,2.7366913855075836e-06,0.07358139944410985,0.03763586278226361,improved,rqvae_improved_s5.pt
4,256,2.464228598745697,6.312355858201776,7.430823499522752,7.621956101734808,7,105,254,256,5.9573410145512575,2.464228598745697,9088,3013,44,0.7510123130319808,0.9065438191784491,2.115964889526367e-06,0.35785628758641475,0.005725239981895511,anti,rqvae_anti_s1.pt
4,256,2.5040156194986762,6.517062507910198,7.307674846625644,7.783538595734807,7,106,255,256,6.0280728924423315,2.5040156194986762,9780,2321,20,0.8081976696140815,0.9246721786357981,2.277083694934845e-06,0.2992607639976055,0.008030023073837713,anti,rqvae_anti_s2.pt
4,256,2.482793620702798,6.501534863171166,7.76770054246841,7.866755804937572,7,106,256,256,6.1546962078199865,2.482793620702798,10247,1854,11,0.8467895215271465,0.9384532994186674,2.385815605521202e-06,0.254646758496772,0.012495276123914056,anti,rqvae_anti_s3.pt
4,256,2.4789350210612167,6.480696158982546,7.713191943908838,7.856275195525786,7,106,256,256,6.132274579869597,2.4789350210612167,10465,1636,14,0.8648045616064788,0.9424466375037676,2.4365726858377457e-06,0.23233788125805704,0.013196937832041344,anti,rqvae_anti_s4.pt
4,256,2.5239519900646044,6.504196641797289,7.711337555285038,7.8811587273558406,7,106,256,256,6.155161228625692,2.5239519900646044,10311,1790,21,0.8520783406330056,0.939252186084999,2.4007167667150497e-06,0.247120472618706,0.013317122736267405,anti,rqvae_anti_s5.pt
