sid_metric;Recall@1;Recall@5;Recall@10;Recall@20;NDCG@1;NDCG@5;NDCG@10;NDCG@20;Recall@1_p;Recall@5_p;Recall@10_p;Recall@20_p;NDCG@1_p;NDCG@5_p;NDCG@10_p;NDCG@20_p
entropy_l0;0,106;0,658;0,731;0,963;0,106;0,383;0,521;0,753;0,756;0,028;0,011;0;0,756;0,244;0,1;0,007
entropy_l1;0,143;0,694;0,658;0,613;0,143;0,559;0,558;0,605;0,675;0,018;0,028;0,045;0,675;0,074;0,075;0,049
entropy_l2;0,12;0,823;0,786;0,742;0,12;0,624;0,677;0,753;0,726;0,002;0,004;0,009;0,726;0,04;0,022;0,007
entropy_l3;0,065;0,639;0,602;0,585;0,065;0,494;0,502;0,568;0,851;0,034;0,05;0,059;0,851;0,122;0,115;0,068
unique_l0;0,465;0,609;0,609;0,785;0,465;0,554;0,611;0,729;0,149;0,047;0,047;0,004;0,149;0,077;0,046;0,011
unique_l1;0,465;0,609;0,609;0,785;0,465;0,554;0,611;0,729;0,149;0,047;0,047;0,004;0,149;0,077;0,046;0,011
unique_l2;0,465;0,609;0,609;0,785;0,465;0,554;0,611;0,729;0,149;0,047;0,047;0,004;0,149;0,077;0,046;0,011
unique_l3;;;;;;;;;;;;;;;;
entropy_mean;0,198;0,878;0,841;0,77;0,198;0,688;0,733;0,79;0,559;0;0,001;0,006;0,559;0,019;0,01;0,004
entropy_min;0,023;0,749;0,786;0,889;0,023;0,467;0,558;0,734;0,946;0,008;0,004;0;0,946;0,148;0,075;0,01
unique_total_base;0,198;0,878;0,841;0,77;0,198;0,688;0,733;0,79;0,559;0;0,001;0,006;0,559;0,019;0,01;0,004
n_collisions;-0,198;-0,878;-0,841;-0,77;-0,198;-0,688;-0,733;-0,79;0,559;0;0,001;0,006;0,559;0,019;0,01;0,004
max_dupe;-0,078;-0,198;-0,308;-0,724;-0,078;-0,042;-0,134;-0,402;0,819;0,56;0,357;0,012;0,819;0,903;0,695;0,221
cfr;0,198;0,878;0,841;0,77;0,198;0,688;0,733;0,79;0,559;0;0,001;0,006;0,559;0,019;0,01;0,004
pas_emb;0,189;0,4;0,326;0,18;0,189;0,43;0,336;0,263;0,578;0,223;0,327;0,597;0,578;0,187;0,312;0,434
cur_total;0,198;0,878;0,841;0,77;0,198;0,688;0,733;0,79;0,559;0;0,001;0,006;0,559;0,019;0,01;0,004
zipf_alpha_full;-0,198;-0,878;-0,841;-0,77;-0,198;-0,688;-0,733;-0,79;0,559;0;0,001;0,006;0,559;0,019;0,01;0,004
pas_behavioral;0,604;0,584;0,474;0,364;0,604;0,707;0,659;0,568;0,049;0,059;0,141;0,271;0,049;0,015;0,027;0,068
gamma;0,501;0,5;0,5;0,501;0,501;0,502;0,501;0,502;0,116;0,117;0,117;0,116;0,116;0,115;0,116;0,115
gpt_vocab;-0,078;-0,198;-0,308;-0,724;-0,078;-0,042;-0,134;-0,402;0,819;0,56;0,357;0,012;0,819;0,903;0,695;0,221
sid_token_levels;;;;;;;;;;;;;;;;
sid_max_dupe_with_disambig;-0,078;-0,198;-0,308;-0,724;-0,078;-0,042;-0,134;-0,402;0,819;0,56;0,357;0,012;0,819;0,903;0,695;0,221
