tie_break;sid_metric;Recall@1;Recall@5;Recall@10;Recall@20;NDCG@1;NDCG@5;NDCG@10;NDCG@20;Recall@1_p;Recall@5_p;Recall@10_p;Recall@20_p;NDCG@1_p;NDCG@5_p;NDCG@10_p;NDCG@20_p
count;entropy_l0;0,257;0,771;0,886;1;0,257;0,319;0,696;0,986;0,623;0,072;0,019;0;0,623;0,538;0,125;0
count;entropy_l1;0,371;0,829;0,771;0,714;0,371;0,638;0,812;0,812;0,468;0,042;0,072;0,111;0,468;0,173;0,05;0,05
count;entropy_l2;0,2;0,829;0,771;0,771;0,2;0,522;0,841;0,841;0,704;0,042;0,072;0,072;0,704;0,288;0,036;0,036
count;entropy_l3;0,257;0,714;0,657;0,657;0,257;0,522;0,754;0,754;0,623;0,111;0,156;0,156;0,623;0,288;0,084;0,084
count;unique_l0;0,676;0,676;0,676;0,845;0,676;0,686;0,857;0,857;0,14;0,14;0,14;0,034;0,14;0,132;0,029;0,029
count;unique_l1;0,676;0,676;0,676;0,845;0,676;0,686;0,857;0,857;0,14;0,14;0,14;0,034;0,14;0,132;0,029;0,029
count;unique_l2;0,676;0,676;0,676;0,845;0,676;0,686;0,857;0,857;0,14;0,14;0,14;0,034;0,14;0,132;0,029;0,029
count;unique_l3;;;;;;;;;;;;;;;;
count;entropy_mean;0,314;0,943;0,886;0,829;0,314;0,638;0,899;0,899;0,544;0,005;0,019;0,042;0,544;0,173;0,015;0,015
count;entropy_min;0,2;0,886;0,943;0,943;0,2;0,406;0,754;0,986;0,704;0,019;0,005;0,005;0,704;0,425;0,084;0
count;unique_total_base;0,314;0,943;0,886;0,829;0,314;0,638;0,899;0,899;0,544;0,005;0,019;0,042;0,544;0,173;0,015;0,015
count;n_collisions;-0,314;-0,943;-0,886;-0,829;-0,314;-0,638;-0,899;-0,899;0,544;0,005;0,019;0,042;0,544;0,173;0,015;0,015
count;max_dupe;-0,429;-0,429;-0,6;-0,829;-0,429;-0,232;-0,464;-0,812;0,397;0,397;0,208;0,042;0,397;0,658;0,354;0,05
count;cfr;0,314;0,943;0,886;0,829;0,314;0,638;0,899;0,899;0,544;0,005;0,019;0,042;0,544;0,173;0,015;0,015
count;pas_emb;0,486;0,6;0,486;0,371;0,486;0,696;0,638;0,493;0,329;0,208;0,329;0,468;0,329;0,125;0,173;0,321
count;cur_total;0,314;0,943;0,886;0,829;0,314;0,638;0,899;0,899;0,544;0,005;0,019;0,042;0,544;0,173;0,015;0,015
count;zipf_alpha_full;-0,314;-0,943;-0,886;-0,829;-0,314;-0,638;-0,899;-0,899;0,544;0,005;0,019;0,042;0,544;0,173;0,015;0,015
count;pas_behavioral;0,771;0,6;0,429;0,486;0,771;0,928;0,899;0,551;0,072;0,208;0,397;0,329;0,072;0,008;0,015;0,257
count;gamma;0,655;0,655;0,655;0,655;0,655;0,664;0,664;0,664;0,158;0,158;0,158;0,158;0,158;0,15;0,15;0,15
count;gpt_vocab;-0,429;-0,429;-0,6;-0,829;-0,429;-0,232;-0,464;-0,812;0,397;0,397;0,208;0,042;0,397;0,658;0,354;0,05
count;sid_token_levels;;;;;;;;;;;;;;;;
count;sid_max_dupe_with_disambig;-0,429;-0,429;-0,6;-0,829;-0,429;-0,232;-0,464;-0,812;0,397;0,397;0,208;0,042;0,397;0,658;0,354;0,05
popularity;entropy_l0;0;0,5;0,5;0,9;0;0,5;0,5;0,7;1;0,391;0,391;0,037;1;0,391;0,391;0,188
popularity;entropy_l1;0;0,5;0,5;0,3;0;0,5;0,5;0,4;1;0,391;0,391;0,624;1;0,391;0,391;0,505
popularity;entropy_l2;0,2;0,8;0,8;0,6;0,2;0,8;0,8;0,7;0,747;0,104;0,104;0,285;0,747;0,104;0,104;0,188
popularity;entropy_l3;0;0,5;0,5;0,3;0;0,5;0,5;0,4;1;0,391;0,391;0,624;1;0,391;0,391;0,505
popularity;unique_l0;0,354;0,354;0,354;0,707;0,354;0,354;0,354;0,707;0,559;0,559;0,559;0,182;0,559;0,559;0,559;0,182
popularity;unique_l1;0,354;0,354;0,354;0,707;0,354;0,354;0,354;0,707;0,559;0,559;0,559;0,182;0,559;0,559;0,559;0,182
popularity;unique_l2;0,354;0,354;0,354;0,707;0,354;0,354;0,354;0,707;0,559;0,559;0,559;0,182;0,559;0,559;0,559;0,182
popularity;unique_l3;;;;;;;;;;;;;;;;
popularity;entropy_mean;0,2;0,8;0,8;0,6;0,2;0,8;0,8;0,7;0,747;0,104;0,104;0,285;0,747;0,104;0,104;0,188
popularity;entropy_min;-0,1;0,6;0,6;0,7;-0,1;0,6;0,6;0,6;0,873;0,285;0,285;0,188;0,873;0,285;0,285;0,285
popularity;unique_total_base;0,2;0,8;0,8;0,6;0,2;0,8;0,8;0,7;0,747;0,104;0,104;0,285;0,747;0,104;0,104;0,188
popularity;n_collisions;-0,2;-0,8;-0,8;-0,6;-0,2;-0,8;-0,8;-0,7;0,747;0,104;0,104;0,285;0,747;0,104;0,104;0,188
popularity;max_dupe;0,3;0,2;0,2;-0,5;0,3;0,2;0,2;-0,2;0,624;0,747;0,747;0,391;0,624;0,747;0,747;0,747
popularity;cfr;0,2;0,8;0,8;0,6;0,2;0,8;0,8;0,7;0,747;0,104;0,104;0,285;0,747;0,104;0,104;0,188
popularity;pas_emb;-0,1;0,1;0,1;-0,3;-0,1;0,1;0,1;-0,1;0,873;0,873;0,873;0,624;0,873;0,873;0,873;0,873
popularity;cur_total;0,2;0,8;0,8;0,6;0,2;0,8;0,8;0,7;0,747;0,104;0,104;0,285;0,747;0,104;0,104;0,188
popularity;zipf_alpha_full;-0,2;-0,8;-0,8;-0,6;-0,2;-0,8;-0,8;-0,7;0,747;0,104;0,104;0,285;0,747;0,104;0,104;0,188
popularity;pas_behavioral;0,6;0,4;0,4;0,2;0,6;0,4;0,4;0,5;0,285;0,505;0,505;0,747;0,285;0,505;0,505;0,391
popularity;gpt_vocab;0,3;0,2;0,2;-0,5;0,3;0,2;0,2;-0,2;0,624;0,747;0,747;0,391;0,624;0,747;0,747;0,747
popularity;sid_token_levels;;;;;;;;;;;;;;;;
popularity;sid_max_dupe_with_disambig;0,3;0,2;0,2;-0,5;0,3;0,2;0,2;-0,2;0,624;0,747;0,747;0,391;0,624;0,747;0,747;0,747
