train_seed,tiebreak,vocab,max_dupe,unique_sids,collapsed,Recall@1,Recall@5,Recall@10,Recall@20,NDCG@1,NDCG@5,NDCG@10,NDCG@20,val_loss_best
3,base_only,1026,0,11754,347,0.007,0.0262,0.0474,0.0838,0.007,0.0163,0.0231,0.0323,1.3172
3,count,1032,6,12101,0,0.0067,0.025,0.0447,0.0807,0.0067,0.0159,0.0222,0.0312,1.118
3,centroid,1032,6,12101,0,0.0072,0.0269,0.0466,0.0815,0.0072,0.0168,0.0231,0.0319,1.121
3,popularity,1032,6,12101,0,0.0066,0.0245,0.0438,0.081,0.0066,0.0154,0.0215,0.0308,1.1224
3,semantic_strict,1037,11,12101,0,0.0064,0.0267,0.0473,0.085,0.0064,0.0166,0.0231,0.0326,1.1064
4,base_only,1026,0,11754,347,0.0066,0.026,0.0498,0.0879,0.0066,0.0161,0.0237,0.0332,1.2956
4,count,1032,6,12101,0,0.0065,0.0271,0.0485,0.0858,0.0065,0.0166,0.0234,0.0328,1.1002
4,centroid,1032,6,12101,0,0.0059,0.0251,0.046,0.0833,0.0059,0.0156,0.0223,0.0317,1.0999
4,popularity,1032,6,12101,0,0.0074,0.0262,0.0478,0.0853,0.0074,0.0166,0.0236,0.033,1.1028
4,semantic_strict,1037,11,12101,0,0.0059,0.0268,0.047,0.0802,0.0059,0.0162,0.0227,0.031,1.1038
