metric,tiebreak,mean_delta,std_delta,min_delta,max_delta
Recall@1,base_only,0.000367,0.000551,-0.0002,0.0009
Recall@1,centroid,0.0001,0.000917,-0.0007,0.0011
Recall@1,popularity,-0.000233,0.000551,-0.0006,0.0004
Recall@1,semantic_strict,-0.000233,0.000896,-0.0008,0.0008
Recall@5,base_only,0.001,0.001015,-0.0001,0.0019
Recall@5,centroid,0.0003,0.001868,-0.0014,0.0023
Recall@5,popularity,-0.000433,0.001914,-0.0022,0.0016
Recall@5,semantic_strict,0.0012,0.000656,0.0006,0.0019
Recall@10,base_only,-0.001867,0.000416,-0.0022,-0.0014
Recall@10,centroid,-0.001267,0.001662,-0.0028,0.0005
Recall@10,popularity,-0.0007,0.0011,-0.0018,0.0004
Recall@10,semantic_strict,0.0003,0.0001,0.0002,0.0004
Recall@20,base_only,-0.0033,0.001852,-0.0047,-0.0012
Recall@20,centroid,-0.0011,0.0017,-0.0028,0.0006
Recall@20,popularity,-0.0013,0.0001,-0.0014,-0.0012
Recall@20,semantic_strict,0.001267,0.002055,-0.0007,0.0034
NDCG@1,base_only,0.000367,0.000551,-0.0002,0.0009
NDCG@1,centroid,0.0001,0.000917,-0.0007,0.0011
NDCG@1,popularity,-0.000233,0.000551,-0.0006,0.0004
NDCG@1,semantic_strict,-0.000233,0.000896,-0.0008,0.0008
NDCG@5,base_only,0.000733,0.000611,0.0002,0.0014
NDCG@5,centroid,0.000133,0.001365,-0.0011,0.0016
NDCG@5,popularity,-0.000333,0.001222,-0.0014,0.001
NDCG@5,semantic_strict,0.000433,0.000462,-0.0001,0.0007
NDCG@10,base_only,-0.0002,0.0003,-0.0005,0.0001
NDCG@10,centroid,-0.0004,0.001311,-0.0016,0.001
NDCG@10,popularity,-0.000433,0.000961,-0.0013,0.0006
NDCG@10,semantic_strict,0.0001,0.0004,-0.0003,0.0005
NDCG@20,base_only,-0.0005,0.000529,-0.0011,-0.0001
NDCG@20,centroid,-0.000333,0.001358,-0.0016,0.0011
NDCG@20,popularity,-0.000567,0.000709,-0.0012,0.0002
NDCG@20,semantic_strict,0.000333,0.000513,-0.0001,0.0009
val_loss_best,base_only,0.306233,0.018385,0.2902,0.3263
val_loss_best,centroid,-0.003833,0.009452,-0.0146,0.0031
val_loss_best,popularity,0.001267,0.00942,-0.005,0.0121
val_loss_best,semantic_strict,-0.027967,0.010693,-0.0402,-0.0204
