train_seed,tiebreak,vocab,max_dupe,unique_sids,collapsed,Recall@1,Recall@5,Recall@10,Recall@20,NDCG@1,NDCG@5,NDCG@10,NDCG@20,val_loss_best
0,base_only,770,0,10700,1401,0.0072,0.0268,0.0462,0.0774,0.0072,0.0171,0.0232,0.0311,1.6509
0,count,784,14,12101,0,0.0068,0.0269,0.0482,0.0821,0.0068,0.0169,0.0237,0.0322,1.3487
0,centroid,784,14,12101,0,0.0079,0.0292,0.0487,0.0827,0.0079,0.0185,0.0247,0.0333,1.3341
0,popularity,784,14,12101,0,0.0072,0.0285,0.0486,0.0808,0.0072,0.0179,0.0243,0.0324,1.3437
0,semantic_strict,790,20,12101,0,0.0076,0.028,0.0486,0.0814,0.0076,0.0176,0.0242,0.0324,1.3085
1,base_only,770,0,10700,1401,0.0083,0.0288,0.0471,0.078,0.0083,0.0184,0.0243,0.0321,1.6208
1,count,784,14,12101,0,0.0074,0.0269,0.0493,0.082,0.0074,0.017,0.0242,0.0324,1.3306
1,centroid,784,14,12101,0,0.0073,0.0269,0.0478,0.0809,0.0073,0.0169,0.0236,0.0319,1.3306
1,popularity,784,14,12101,0,0.0069,0.0262,0.0486,0.0808,0.0069,0.0164,0.0236,0.0317,1.3273
1,semantic_strict,790,20,12101,0,0.0067,0.0288,0.0496,0.0854,0.0067,0.0177,0.0243,0.0333,1.3102
2,base_only,770,0,10700,1401,0.0073,0.0287,0.0475,0.0808,0.0073,0.0179,0.024,0.0324,1.6642
2,count,784,14,12101,0,0.0075,0.0275,0.0489,0.082,0.0075,0.0173,0.0242,0.0325,1.3379
2,centroid,784,14,12101,0,0.0068,0.0261,0.0461,0.0792,0.0068,0.0162,0.0226,0.0309,1.341
2,popularity,784,14,12101,0,0.0069,0.0253,0.0471,0.0806,0.0069,0.0159,0.0229,0.0313,1.35
2,semantic_strict,790,20,12101,0,0.0067,0.0281,0.0491,0.0831,0.0067,0.0172,0.0239,0.0324,1.3146
3,base_only,770,0,10700,1401,0.0082,0.0289,0.0483,0.079,0.0082,0.0183,0.0245,0.0322,1.6469
3,count,784,14,12101,0,0.0069,0.0268,0.0464,0.0793,0.0069,0.0167,0.023,0.0312,1.3365
3,centroid,784,14,12101,0,0.0068,0.0272,0.0497,0.0817,0.0068,0.0168,0.024,0.032,1.3299
3,popularity,784,14,12101,0,0.0072,0.0271,0.0471,0.0805,0.0072,0.0173,0.0237,0.0321,1.3405
3,semantic_strict,790,20,12101,0,0.0078,0.0285,0.0499,0.0851,0.0078,0.0182,0.0251,0.034,1.294
4,base_only,770,0,10700,1401,0.0069,0.028,0.0478,0.0777,0.0069,0.0173,0.0236,0.0311,1.6316
4,count,784,14,12101,0,0.0073,0.0271,0.0479,0.083,0.0073,0.0171,0.0237,0.0325,1.3415
4,centroid,784,14,12101,0,0.0076,0.0288,0.0492,0.0804,0.0076,0.0181,0.0246,0.0324,1.3417
4,popularity,784,14,12101,0,0.0074,0.0273,0.0492,0.0816,0.0074,0.0173,0.0243,0.0325,1.3393
4,semantic_strict,790,20,12101,0,0.0068,0.0284,0.0499,0.0826,0.0068,0.0175,0.0244,0.0326,1.3119
