rq_seed,anti_contrastive,contrastive,delta_contrastive_minus_anti
0,0.0012599143896082667,0.0059467506487835,0.004686836259175233
1,0.0007748780304497001,0.006492648033421133,0.0057177700029714335
2,0.0006089446145508,0.007836071264293367,0.0072271266497425666
3,0.0014335479580293332,0.007040570597190334,0.005607022639161001
4,0.0018997618175257665,0.004988848644182733,0.0030890868266569664
5,0.000882377279938,0.004241445313399867,0.0033590680334618667
6,0.0030462884999734666,0.005822036916695433,0.0027757484167219666
7,0.0004889814546137334,0.006308464246722999,0.005819482792109266
8,0.0023933385785905666,0.0073464275097473,0.004953088931156733
9,0.0005907249801829666,0.009007814151471767,0.0084170891712888
