rq_seed,gpt_seed,valid_Recall@5_anti,valid_Recall@5_contrastive,valid_Recall@5_delta,valid_Recall@10_anti,valid_Recall@10_contrastive,valid_Recall@10_delta,valid_Recall@20_anti,valid_Recall@20_contrastive,valid_Recall@20_delta,valid_NDCG@5_anti,valid_NDCG@5_contrastive,valid_NDCG@5_delta,valid_NDCG@10_anti,valid_NDCG@10_contrastive,valid_NDCG@10_delta,valid_NDCG@20_anti,valid_NDCG@20_contrastive,valid_NDCG@20_delta,valid_MRR_anti,valid_MRR_contrastive,valid_MRR_delta
0,0,0.0022,0.0064,0.004200000000000001,0.0028,0.0118,0.009,0.0036,0.0176,0.014000000000000002,0.0012,0.0038678934055307,0.0026678934055307003,0.0013875726072873,0.0055826026458082,0.004195030038520901,0.0015893558962358,0.0070229881644279,0.0054336322681921,0.0012675010287655,0.0045483587032127,0.0032808576744471993
0,1,0.0026,0.0078,0.0052,0.003,0.0124,0.009399999999999999,0.004,0.022,0.018,0.0013635058730615,0.0051631549626002,0.0037996490895387,0.0014791318035887,0.0066203470777209,0.005141215274132201,0.001727897591545,0.0090444546988672,0.007316557107322201,0.0013579753784317,0.0061351102108856,0.0047771348324539
0,2,0.0016,0.0062,0.0046,0.002,0.0118,0.0098,0.0032,0.0186,0.015399999999999999,0.0007868528072345,0.0038033085415622,0.0030164557343277,0.0009130387579488,0.0056373022228214,0.0047242634648726,0.0012044704118281,0.0073540515250202,0.0061495811131921,0.0009942518184682,0.0047366105739788,0.0037423587555105997
1,0,0.001,0.0088,0.0078000000000000005,0.0016,0.0134,0.0118,0.004,0.0184,0.0144,0.0005908791144718,0.0057476385483696,0.0051567594338978,0.0007748780304497,0.0072441335247724,0.0064692554943227,0.001387568740263,0.0084797563718303,0.007092187631567301,0.0010464046391058,0.0062516912723223,0.0052052866332165
1,1,0.001,0.0072,0.0062,0.0016,0.011,0.009399999999999999,0.004,0.0198,0.0158,0.0005908791144718,0.0049932535608361,0.0044023744463643,0.0007748780304497,0.0062057653427445,0.0054308873122948,0.001387568740263,0.0084118103411285,0.007024241600865499,0.0010334064918414,0.0059700415068806,0.0049366350150392
1,2,0.001,0.008,0.007,0.0016,0.0116,0.009999999999999998,0.004,0.0164,0.012400000000000001,0.0005908791144718,0.0048642285935805,0.0042733494791087,0.0007748780304497,0.0060280452327465,0.0052531672022968,0.001387568740263,0.0072202001182148,0.0058326313779518005,0.0010405053519405,0.0051994230264546,0.0041589176745141
2,0,0.0006,0.0082,0.007600000000000001,0.0008,0.0146,0.0138,0.001,0.0226,0.021599999999999998,0.0004861353116146,0.0052960924423499,0.0048099571307353,0.0005439482768782,0.0073670273939888,0.0068230791171106,0.0005928783853019,0.0093855552865162,0.0087926769012143,0.0008575175743117,0.0063975554803148,0.0055400379060031
2,1,0.001,0.0104,0.009399999999999999,0.0012,0.0154,0.0142,0.0028,0.0224,0.0196,0.0006722706232293,0.0064930055902372,0.0058207349670079,0.000738937289896,0.0080914682037721,0.007352530913876101,0.0011398839400942,0.0098543847345383,0.0087145007944441,0.0010889861006509,0.0070946336692458,0.0060056475685949
2,2,0.0006,0.009,0.0084,0.0008,0.0156,0.014799999999999999,0.0018,0.0234,0.0216,0.0004861353116146,0.0059822277539645,0.0054960924423499,0.0005439482768782,0.0080497181951192,0.0075057699182409995,0.0007796577830612,0.0100078402579193,0.009228182474858099,0.0009652627803461,0.0069663287579978,0.0060010659776517
3,0,0.0012,0.007,0.0058000000000000005,0.0032,0.0126,0.0094,0.0052,0.0216,0.0164,0.000758405934844,0.0047404172242581,0.0039820112894141,0.0013981523413116,0.0064969700647657,0.0050988177234541,0.0019022855536244,0.0087980775043493,0.0068957919507249,0.0013846938591843,0.0060626431215704,0.0046779492623861
3,1,0.0016,0.0088,0.007200000000000001,0.0034,0.0154,0.012,0.0056,0.025,0.0194,0.0009219118079056,0.0058761937205491,0.0049542819126434995,0.0015043391914648,0.0079510111223177,0.0064466719308529,0.002057595737512,0.0103631101111475,0.0083055143736355,0.0014824383898554,0.0071362475320094,0.0056538091421540005
3,2,0.0012,0.0068,0.0056,0.0032,0.0124,0.0092,0.0054,0.0236,0.0182,0.000758405934844,0.0048845971104574,0.0041261911756134,0.0013981523413116,0.0066737306044876,0.005275578263176,0.0019563331845099,0.0094745296452057,0.0075181964606958005,0.0014214310905107,0.0064530567389311,0.0050316256484204
4,0,0.0028,0.0042,0.0013999999999999998,0.0046,0.0078,0.0031999999999999997,0.0062,0.014,0.0078000000000000005,0.0019118568271795,0.0021020129510772,0.00019015612389769996,0.002491872652616,0.0032675359090273,0.0007756632564113,0.0028896922545488,0.0048123024130479,0.0019226101584990996,0.0023376077731255,0.0028903634503146,0.0005527556771890998
4,1,0.0018,0.0076,0.0058,0.0036,0.0134,0.0098,0.005,0.0202,0.015199999999999998,0.0011368554871978,0.0046754708650025,0.0035386153778047,0.0017257250140374,0.0065430302275803,0.0048173052135429,0.0020764628332969,0.0082437451074123,0.0061672822741154,0.0016566556611199,0.0056097156732937,0.0039530600121738
4,2,0.0016,0.005,0.0034000000000000002,0.0032,0.0116,0.0084,0.0046,0.0186,0.013999999999999999,0.0009594849257509,0.0030048519676185,0.0020453670418676,0.0014816877859239,0.0051559797959406,0.0036742920100166997,0.0018324256051833,0.0069325875394596,0.0051001619342763,0.0014790738534229,0.0042170342535128,0.0027379604000899
5,0,0.0006,0.0042,0.0036,0.001,0.0084,0.0073999999999999995,0.0026,0.0156,0.013,0.0003861353116146,0.0022984617988427,0.0019123264872280997,0.0005286181864578,0.0036112851423412,0.0030826669558834,0.0009142302910375,0.0053737816786127,0.0044595513875752,0.0008711216931372,0.0031364105725444,0.0022652888794072
5,1,0.0014,0.0036,0.0021999999999999997,0.0018,0.01,0.0082,0.0026,0.0156,0.013,0.0008594849257509,0.0021552107829423,0.0012957258571913999,0.0009775038901473,0.0042225720432717,0.0032450681531244006,0.0011775306152231,0.005635630814292,0.0044581001990689,0.0011559442470788,0.0034997493492937,0.0023438051022149
5,2,0.0018,0.0046,0.0028,0.0022,0.011,0.008799999999999999,0.0034,0.0154,0.012,0.0010229907988125,0.0028301038231349,0.0018071130243224002,0.0011410097632089,0.0048904787545867,0.0037494689913778,0.0014460517342802,0.006000099248254,0.0045540475139738,0.0012367793070602,0.0039637057825965,0.0027269264755363
6,0,0.0036,0.0074,0.0038000000000000004,0.0042,0.0116,0.0073999999999999995,0.0056,0.0196,0.013999999999999999,0.002795622917329,0.0046611417414678,0.0018655188241388002,0.0029796218333068,0.0060400931715759,0.0030604713382691,0.0033462883385087,0.0080338480848458,0.004687559746337101,0.0032530849520876,0.0052533489679937,0.0020002640159060996
6,1,0.004,0.0064,0.0024000000000000002,0.0046,0.011,0.0063999999999999994,0.0058,0.019,0.0132,0.002995622917329,0.0042154132043131,0.0012197902869840998,0.0031796218333068,0.0056920005167706,0.0025123786834638003,0.0034937584315012,0.007705943833138,0.0042121854016368004,0.0033197918538222,0.0051379819431699,0.0018181900893476997
6,2,0.0036,0.0068,0.0031999999999999997,0.0042,0.0112,0.007,0.0056,0.0172,0.0116,0.002795622917329,0.0043404118643314,0.0015447889470023997,0.0029796218333068,0.0057340170617398,0.002754395228433,0.0033462883385087,0.0072216664310845,0.0038753780925758004,0.0032282538820076,0.0049232665094801,0.0016950126274725003
7,0,0.0006,0.0068,0.0062,0.0008,0.0118,0.011,0.0034,0.02,0.0166,0.0003123212623289,0.0041765132599894,0.0038641919976605005,0.0003754142376861,0.0057704142975046,0.0053950000598185,0.0010069528716055,0.0078410938818398,0.0068341410102343,0.0007496377467924,0.0050280824058596,0.0042784446590672
7,1,0.0002,0.0078,0.0076,0.0016,0.0132,0.0116,0.003,0.024,0.021,7.737056144690832e-05,0.0044477414882319,0.004370370926784992,0.0005215754765575,0.0061751924855822,0.0056536170090247,0.0008726315184935,0.0088756091972518,0.0080029776787583,0.0006398620409099,0.0052852686653322,0.0046454066244223
