rq_seed,ICR_anti,ICR_contrastive,ICR_delta,CollisionRate_anti,CollisionRate_contrastive,CollisionRate_delta
0,0.8012560945376416,0.973555904470705,0.17229980993306337,0.1987439054623584,0.026444095529295,-0.1722998099330634
1,0.6682918767044046,0.9549623998016692,0.2866705230972646,0.3317081232955954,0.0450376001983307,-0.2866705230972647
2,0.7638211718039831,0.9446326749855384,0.18081150318155526,0.2361788281960168,0.0553673250144616,-0.1808115031815552
3,0.6064788034046773,0.9602512189075284,0.3537724155028511,0.3935211965953227,0.0397487810924716,-0.3537724155028511
4,0.5693744318651351,0.9656226758119164,0.39624824394678126,0.4306255681348649,0.0343773241880836,-0.3962482439467813
5,0.7537393603834394,0.9551276753987272,0.20138831501528787,0.2462606396165606,0.0448723246012726,-0.201388315015288
6,0.6139162052722915,0.9688455499545492,0.3549293446822577,0.3860837947277084,0.0311544500454507,-0.3549293446822577
7,0.7481199900834642,0.9644657466325096,0.21634575654904542,0.2518800099165358,0.0355342533674902,-0.21634575654904561
8,0.8080323940170234,0.9657879514089744,0.15775555739195102,0.1919676059829766,0.0342120485910255,-0.1577555573919511
9,0.7843979836377158,0.9688455499545492,0.18444756631683334,0.2156020163622841,0.0311544500454507,-0.1844475663168334
